Department|Attrition_Retention 2|Age group|Gender|Job Role|Attrition|Attrition Label|Education|Major|Age|Attrition Count|Attrition %|Attrition Date|Avg. Satisfaction Score|Dynamic Date|Employee No.|Employee Number|Environment Satisfaction|Job Involvement|Job Satisfaction|Monthly Income|Percent Salary Hike|Performance Rating|Relationship Satisfaction|Work Life Balance
R & D|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|35||||2.4||E_88|88|2|3|1|2194|13|3|4|2
R & D|Ex-Employees|35-44|Male|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Medical|36|1.0|0.007518797|3/11/2022|2.4|3/1/2022|E_90|90|4|2|3|3388|17|3|1|2
Sales|Current Employees|> 55|Female|Sales Executive|No|Current Employees|High School|Life Sciences|59||||2.4||E_91|91|1|2|3|5473|11|3|4|2
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|29||||3.0||E_94|94|3|3|2|2703|23|4|4|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Medical|31||||2.6||E_95|95|3|3|2|2501|17|3|2|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|32||||2.4||E_96|96|2|3|2|6220|17|3|2|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|36||||3.0||E_97|97|2|4|4|3038|12|3|2|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|31||||3.4||E_98|98|3|3|4|4424|23|4|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|35||||2.2||E_100|100|3|2|1|4312|14|3|2|3
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Master's Degree|Other|45||||2.8||E_101|101|4|3|1|13245|14|3|2|4
Research & Development|Current Employees|35-44|Male|Research Director|No|Current Employees|Master's Degree|Medical|37||||2.4||E_102|102|1|3|3|13664|13|3|1|4
HR|Current Employees|45-55|Male|Human Resources|No|Current Employees|Associates Degree|Medical|46||||2.8||E_103|103|2|3|2|5021|22|4|4|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|High School|Life Sciences|30||||3.0||E_104|104|4|2|4|5126|12|3|3|2
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|35||||2.2||E_105|105|2|2|3|2859|18|3|1|3
Sales|Current Employees|45-55|Male|Sales Executive|No|Current Employees|Associates Degree|Life Sciences|55||||3.0||E_106|106|1|3|4|10239|14|3|4|3
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|38||||2.8||E_107|107|2|1|4|5329|12|3|4|3
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Associates Degree|Medical|34||||2.4||E_110|110|1|3|2|4325|15|3|3|3
Research & Development|Current Employees|> 55|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|56||||2.4||E_112|112|4|1|4|7260|11|3|1|2
Sales|Current Employees|< 25|Male|Sales Representative|No|Current Employees|High School|Technical Degree|23||||2.6||E_113|113|3|3|1|2322|13|3|3|3
Research & Development|Current Employees|45-55|Male|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|51||||3.2||E_116|116|4|3|4|2075|23|4|2|3
Research & Development|Current Employees|25-34|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Life Sciences|30||||2.6||E_117|117|3|2|4|4152|19|3|1|3
Sales|Ex-Employees|45-55|Male|Sales Executive|Yes|Ex-Employees|Associates Degree|Medical|46|1.0|0.010869565|3/11/2022|3.2|3/1/2022|E_118|118|3|2|4|9619|16|3|4|3
Research & Development|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Master's Degree|Life Sciences|40||||2.6||E_119|119|3|2|2|13503|22|4|4|2
Sales|Current Employees|45-55|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|51||||3.0||E_120|120|3|3|4|5441|22|4|4|1
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Associates Degree|Medical|30||||2.2||E_121|121|3|2|2|5209|12|3|2|2
Research & Development|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Medical|46||||2.2||E_124|124|3|2|1|10673|13|3|3|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Medical|32||||2.4||E_125|125|2|3|3|5010|16|3|1|3
Research & Development|Current Employees|45-55|Female|Research Director|No|Current Employees|Master's Degree|Technical Degree|54||||1.8||E_126|126|1|3|3|13549|12|3|1|1
Sales|Current Employees|< 25|Female|Sales Executive|No|Current Employees|Associates Degree|Other|24||||2.0||E_128|128|1|3|3|4999|21|4|1|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Medical|28||||2.8||E_129|129|2|3|3|4221|15|3|2|4
Sales|Current Employees|> 55|Male|Sales Executive|No|Current Employees|Master's Degree|Medical|58||||3.0||E_131|131|4|3|3|13872|13|3|3|2
R & D|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|44||||2.8||E_132|132|2|3|2|2042|12|3|3|4
Human Resources|Ex-Employees|35-44|Male|Human Resources|Yes|Ex-Employees|Master's Degree|Human Resources|37|1.0|0.083333333|2/12/2022|2.8|2/1/2022|E_133|133|3|3|1|2073|22|4|4|3
R & D|Current Employees|25-34|Male|Research Scientist|No|Current Employees|High School|Life Sciences|32||||3.0||E_134|134|4|3|1|2956|13|3|4|3
Research & Development|Ex-Employees|< 25|Female|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|20|1.0|0.007518797|2/20/2022|3.0|2/1/2022|E_137|137|4|2|4|2926|18|3|2|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Master's Degree|Other|34||||2.6||E_138|138|1|3|3|4809|14|3|3|3
R & D|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Associates Degree|Life Sciences|37||||3.4||E_139|139|3|2|4|5163|14|3|4|4
Human Resources|Current Employees|> 55|Female|Manager|No|Current Employees|Master's Degree|Human Resources|59||||3.2||E_140|140|3|2|4|18844|21|4|4|3
Research & Development|Current Employees|45-55|Female|Research Director|No|Current Employees|Bachelor's Degree|Life Sciences|50||||1.8||E_141|141|1|3|2|18172|19|3|1|2
Sales|Ex-Employees|25-34|Male|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Marketing|25|1.0|0.010869565|3/29/2022|3.0|3/1/2022|E_142|142|3|2|3|5744|11|3|4|3
R & D|Current Employees|25-34|Male|Research Scientist|No|Current Employees|High School|Medical|25||||3.2||E_143|143|4|2|4|2889|11|3|3|3
Research & Development|Current Employees|< 25|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|22||||3.0||E_144|144|2|3|4|2871|15|3|3|3
R & D|Current Employees|45-55|Female|Healthcare Representative|No|Current Employees|Master's Degree|Medical|51||||1.8||E_145|145|1|2|1|7484|20|4|3|2
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|34|1.0|0.007518797|2/7/2022|2.4|2/1/2022|E_147|147|1|1|3|6074|24|4|4|3
Human Resources|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Human Resources|54||||3.6||E_148|148|4|4|4|17328|12|3|3|3
Research & Development|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|High School|Life Sciences|24||||2.8||E_150|150|2|3|3|2774|12|3|3|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|34||||2.6||E_151|151|3|2|2|4505|15|3|3|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|37||||2.8||E_152|152|3|3|4|7428|12|3|1|3
Research & Development|Current Employees|25-34|Female|Manager|No|Current Employees|Bachelor's Degree|Medical|34||||2.6||E_153|153|3|2|1|11631|12|3|4|3
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Associates Degree|Technical Degree|36||||3.0||E_154|154|2|3|4|9738|14|3|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|36||||2.4||E_155|155|1|3|4|2835|22|4|1|3
Sales|Current Employees|35-44|Male|Manager|No|Current Employees|Associates Degree|Life Sciences|43||||3.6||E_158|158|3|3|4|16959|12|3|4|4
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|30||||2.0||E_159|159|1|1|3|2613|25|4|3|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Associates Degree|Marketing|33||||2.6||E_160|160|3|3|2|6146|13|3|1|4
Research & Development|Ex-Employees|> 55|Female|Research Scientist|Yes|Ex-Employees|Master's Degree|Life Sciences|56|1.0|0.007518797|11/12/2021|2.2|11/1/2021|E_161|161|2|3|2|4963|18|3|1|3
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Bachelor's Degree|Life Sciences|51||||2.6||E_162|162|1|3|3|19537|13|3|3|3
Sales|Ex-Employees|25-34|Male|Sales Executive|Yes|Ex-Employees|Master's Degree|Life Sciences|31|1.0|0.010869565|2/24/2022|2.0|2/1/2022|E_163|163|2|1|3|6172|18|3|2|2
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Other|26||||2.4||E_164|164|3|2|2|2368|19|3|3|2
Research & Development|Ex-Employees|> 55|Female|Healthcare Representative|Yes|Ex-Employees|Master's Degree|Medical|58|1.0|0.007518797|12/3/2021|3.4|12/1/2021|E_165|165|4|3|4|10312|12|3|4|2
Sales|Ex-Employees|< 25|Male|Sales Representative|Yes|Ex-Employees|High School|Marketing|19|1.0|0.010869565|10/27/2021|3.2|10/1/2021|E_167|167|4|3|3|1675|19|3|4|2
Research & Development|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|High School|Technical Degree|22||||3.2||E_169|169|3|3|4|2523|14|3|3|3
Research & Development|Current Employees|45-55|Female|Manufacturing Director|No|Current Employees|Master's Degree|Medical|49||||2.4||E_170|170|3|3|1|6567|14|3|3|2
R & D|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|43||||3.2||E_171|171|2|4|3|4739|12|3|4|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|50||||3.4||E_174|174|3|3|4|9208|11|3|4|3
Sales|Ex-Employees|25-34|Female|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|31|1.0|0.010869565|8/26/2021|2.4|8/1/2021|E_175|175|2|1|3|4559|11|3|3|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|High School|Life Sciences|41||||3.0||E_176|176|3|3|3|8189|13|3|3|3
HR|Current Employees|25-34|Female|Human Resources|No|Current Employees|High School|Life Sciences|26||||3.2||E_177|177|3|3|3|2942|23|4|4|3
R & D|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Associates Degree|Medical|36||||2.8||E_178|178|2|3|2|4941|20|4|4|3
Research & Development|Ex-Employees|45-55|Male|Manufacturing Director|Yes|Ex-Employees|Master's Degree|Life Sciences|51|1.0|0.007518797|1/25/2022|2.6|1/1/2022|E_179|179|1|1|4|10650|15|3|4|3
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|39||||3.2||E_182|182|4|2|3|5902|14|3|3|4
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|25||||2.6||E_183|183|1|2|3|8639|18|3|4|3
HR|Current Employees|25-34|Male|Human Resources|No|Current Employees|Bachelor's Degree|Human Resources|30||||3.0||E_184|184|3|3|4|6347|19|3|4|1
R & D|Ex-Employees|25-34|Female|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|32|1.0|0.007518797|3/11/2022|2.0|3/1/2022|E_190|190|1|3|1|4200|22|4|1|4
Research & Development|Current Employees|45-55|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|45||||2.8||E_192|192|3|3|4|3452|13|3|2|2
R & D|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Doctoral Degree|Technical Degree|38||||3.0||E_193|193|4|3|3|4317|20|4|2|3
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|30||||2.4||E_194|194|1|3|3|2632|14|3|3|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Associates Degree|Medical|32||||3.4||E_195|195|4|1|4|4668|17|3|4|4
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Technical Degree|30||||3.0||E_197|197|4|3|1|3204|14|3|4|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|High School|Medical|30||||3.0||E_198|198|2|2|4|2720|13|3|4|3
R & D|Current Employees|35-44|Male|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|41||||2.2||E_199|199|4|2|1|17181|13|3|2|2
R & D|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|41||||2.8||E_200|200|3|3|1|2238|21|4|4|3
Research & Development|Current Employees|< 25|Female|Laboratory Technician|No|Current Employees|High School|Medical|19||||2.8||E_201|201|2|3|2|1483|14|3|4|3
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|40||||2.2||E_202|202|2|3|2|5605|11|3|1|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Doctoral Degree|Marketing|35||||2.4||E_204|204|3|3|2|7295|13|3|1|3
Sales|Current Employees|45-55|Male|Sales Representative|No|Current Employees|Associates Degree|Marketing|53||||2.6||E_205|205|2|3|3|2306|20|4|4|1
R & D|Current Employees|45-55|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|45||||2.2||E_206|206|2|3|2|2348|18|3|3|1
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|32||||3.2||E_207|207|2|3|4|8998|14|3|4|3
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|High School|Technical Degree|29||||2.8||E_208|208|4|3|3|4319|13|3|1|3
R & D|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|Master's Degree|Medical|51||||2.6||E_211|211|2|2|3|6132|17|3|3|3
Research & Development|Current Employees|> 55|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|58||||2.0||E_214|214|2|2|2|3346|20|4|2|2
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|40||||2.4||E_215|215|3|2|4|10855|11|3|1|2
Sales|Current Employees|25-34|Female|Sales Representative|No|Current Employees|Master's Degree|Marketing|34||||3.2||E_216|216|3|3|3|2231|18|3|4|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|High School|Medical|22||||2.8||E_217|217|3|3|4|2323|24|4|1|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|27||||2.8||E_218|218|4|3|2|2024|18|3|4|1
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|28||||2.8||E_221|221|3|3|4|2713|11|3|3|1
Research & Development|Current Employees|> 55|Male|Healthcare Representative|No|Current Employees|Associates Degree|Life Sciences|57||||2.8||E_223|223|3|4|4|9439|16|3|2|1
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|27||||2.8||E_224|224|3|2|3|2566|15|3|4|2
Research & Development|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|50||||2.6||E_226|226|3|3|2|19926|15|3|2|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|41||||2.2||E_227|227|1|3|3|2451|12|3|1|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|30||||3.0||E_228|228|2|3|4|9419|12|3|3|3
